Vol C Over 
2853 69 37 
2702 65 36.5 
3099 73 38.5 
1306 62.5 26.5 
2294 70 35 
2725 68 36.5 
3309 71 39.25 
2790 64 36.75 
2756 62 38.5 
5237.92 80 43 
3149.82 67 37.6 
5498.46 79 44.6 
3397.83 66 38 
3007.56 62 36.8 
4574.29 79 41.1 
6228.59 73 48 
2318.64 63 30.2 
3176.71 68 37.75 
2352.31 70 32.5 
2174.44 69 31.62 
2694.72 73 34.5 
3333.53 70 37.25 
4328.92 78.5 40 
2115.04 67 31.25 
2489.08 66.5 33.75 
2296.65 64.5 32.38 
3117.21 65.5 37.58 
4088.36 74 40.33 
4180.88 72 40.5 
2318.19 63 33 
1946.9 58 31 
2479.89 61 36.5 
3174.8 73 37 
2151.54 64 33 
3475.68 73 39.5 
4393.08 71 42 
2819.5 69 35 
3703.49 70 38.5 
2742.81 72.5 34.5 
3002.4 66 35.5 
1854.19 69 30.5 
1982.07 62 31 
2470.86 65 33.5 
1203.15 60.1 26.25 
2843.84 71 36 
2636.25 66 36 
1998.39 65 32 
2005.03 64 32 
2568.76 66 35 
2161.18 65 32.5 
2112.2 67 32 
3009.33 65 38 
1992.24 63 31 
2746.98 70 34 
2238.27 64 35 
1747.47 67 30 
2863.91 67 36 
3593.47 72 39 
2435.48 62 35 
2430.18 63 34 
2590.07 67 35 
3577.68 70 41 
3299.24 73 40 
1986.14 64 32.5 
3109.04 68 38 
2821.56 71 37 
2932.24 67 38 
3304.63 68 38 
2565.46 72 35 
4509.93 74 41.33 
4804.01 81 42 
4241.8 75 40.75 
4516.1 69.2 43.25 
5011.62 77.5 43.1 
2110.73 65 31.5 
2775.7 76 34.6 
3927.9 72 39 
4212.77 80 41.5 
3562.64 78.5 38.5 
2853.96 75 35.5 
3294.38 69 38 
1689.54 63 30.5 
2228.84 62 33 
2362.61 64 34 
3088.28 68 38.5 
3820.79 70 40 
3126.64 63 36.9 
3624.75 71 38.45 
3023.97 73 36.5 
6045.42 79 47 
3100.11 64 37 
3378.07 70 38 
3040.29 77 35 
2252.16 65 32.5 
3552.61 76 37 
2635.9 66 34.5 
3201.41 71 35.5 
2590.21 69 35 
3743.55 76 38.25 
3858.03 73 39.5 
3829.44 74 39.75 
2556.44 66 33 
3119.07 69 36 
2122.38 65.5 32 
2921.92 69 36 
2936.35 72.5 34.5 
2427.66 76 33 
2069.38 65 31.5 
1899.54 72 30 
4289.28 78.5 40.5 
2407.39 67.5 32.5 
3097.99 66 35.5 
3893.67 75.5 39.25 
2238.66 68 31.75 
2314.79 64 33.1 
2667.07 66 34.7 
2582.07 68 33.5 
3426.5 75 37 
2307.34 60 33.4 
3960.41 76 39.3 
